,advance,available_seats,departure_year,return_year,departure_days_to_closest_holiday,return_days_to_closest_holiday,departure_duration,return_duration,departure_stops,return_stops,departure_time,return_time,major_carrier_AM,major_carrier_UA,major_carrier_AA,major_carrier_NK,major_carrier_AC,major_carrier_B6,major_carrier_CM,major_carrier_WS,major_carrier_DL,major_carrier_SY,major_carrier_VX,major_carrier_AS,validating_carrier_AM,validating_carrier_UA,validating_carrier_AA,validating_carrier_NK,validating_carrier_AC,validating_carrier_B6,validating_carrier_CM,validating_carrier_nan,validating_carrier_WS,validating_carrier_SY,validating_carrier_DL,validating_carrier_AV,validating_carrier_VX,validating_carrier_AS,validating_carrier_HR,lowest_class_E,lowest_class_B,highest_class_E,highest_class_F,highest_class_B,highest_class_EP,highest_class_U,departure_weekday_Thursday,departure_weekday_Wednesday,departure_weekday_Friday,departure_weekday_Monday,departure_weekday_Saturday,departure_weekday_Tuesday,departure_weekday_Sunday,return_weekday_Monday,return_weekday_Wednesday,return_weekday_Tuesday,return_weekday_Saturday,return_weekday_Sunday,return_weekday_Thursday,return_weekday_Friday,departure_H_Memorial,departure_H_Martin,departure_H_Labor,departure_H_Columbus,departure_H_Christmas,departure_H_Thanksgiving,departure_H_Veterans,departure_H_Independence,departure_H_President,departure_H_NewYear,return_H_Memorial,return_H_Martin,return_H_Labor,return_H_Columbus,return_H_Independence,return_H_NewYear,return_H_Thanksgiving,return_H_Veterans,return_H_President,return_H_Christmas
118,-0.7058923785104892,-0.16619217100755204,-0.3272714622753637,-0.4509957011476586,3,0,-0.5807951238404363,-0.5807951238404363,1,1,0.6343793963238984,-0.7883508486089699,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,-0.7058923785104892,-0.4829010741575401,-0.3272714622753637,-0.4509957011476586,3,0,-0.5055158037886225,-0.5055158037886225,1,1,0.4004868606942106,-0.9359236030750456,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,-0.7058923785104892,-1.116318880457516,-0.3272714622753637,-0.4509957011476586,3,0,-0.8103970499984682,-0.8103970499984682,1,1,0.4149544402176964,-0.7883508486089699,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,-0.7058923785104892,0.46722563529242406,-0.3272714622753637,-0.4509957011476586,3,0,-0.6297266818741152,-0.6297266818741152,1,1,-2.095170607107097,-0.6604544614050378,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,-0.840440580308028,1.1006434415924,-0.3272714622753637,-0.4509957011476586,12,-1,0.4693513908823654,0.4693513908823654,1,1,0.4559459155342396,1.1891240612364424,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,-0.840440580308028,1.1006434415924,-0.3272714622753637,-0.4509957011476586,12,-1,0.1908179066906546,0.1908179066906546,1,1,0.6343793963238984,1.1891240612364424,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,-0.840440580308028,-1.433027783607504,-0.3272714622753637,-0.4509957011476586,12,-1,0.1908179066906546,0.1908179066906546,1,1,0.6343793963238984,-0.7785126649778983,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,-0.840440580308028,1.1006434415924,-0.3272714622753637,-0.4509957011476586,12,-1,0.1908179066906546,0.1908179066906546,1,1,0.6343793963238984,1.1891240612364424,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,-0.840440580308028,0.783934538442412,-0.3272714622753637,-0.4509957011476586,12,-1,-0.03878401946737732,-0.03878401946737732,2,2,0.2871574877602381,-0.9359236030750456,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,-0.840440580308028,-0.16619217100755204,-0.3272714622753637,-0.4509957011476586,12,-1,-0.9458998260917328,-0.9458998260917328,1,1,1.0177702536962732,1.1300949594500125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,-0.840440580308028,0.150516732142436,-0.3272714622753637,-0.4509957011476586,12,-1,-0.5770311578378455,-0.5770311578378455,1,1,0.3715517016472389,-0.3967911400923162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,-0.840440580308028,0.150516732142436,-0.3272714622753637,-0.4509957011476586,12,-1,-0.8066330839958775,-0.8066330839958775,1,1,0.14248169252537965,-0.3967911400923162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,-0.840440580308028,0.150516732142436,-0.3272714622753637,-0.4509957011476586,12,-1,-0.2646219796228185,-0.2646219796228185,1,1,0.14248169252537965,-0.3967911400923162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,-0.840440580308028,-0.16619217100755204,-0.3272714622753637,-0.4509957011476586,12,-1,-0.6334906478767058,-0.6334906478767058,1,1,0.21481959014280888,1.1300949594500125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,-0.840440580308028,-1.433027783607504,-0.3272714622753637,-0.4509957011476586,12,-1,-0.8066330839958775,-0.8066330839958775,1,1,0.14248169252537965,-0.5620726250943208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,-0.840440580308028,-0.7996099773075281,-0.3272714622753637,-0.4509957011476586,12,-1,-0.9458998260917328,-0.9458998260917328,1,1,1.0177702536962732,-0.8768945012886153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134,-0.840440580308028,0.46722563529242406,-0.3272714622753637,-0.4509957011476586,12,-1,-0.8442727440217843,-0.8442727440217843,1,1,0.3715517016472389,-1.0047908884925474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,-0.840440580308028,0.46722563529242406,-0.3272714622753637,-0.4509957011476586,12,-1,-0.9458998260917328,-0.9458998260917328,1,1,1.0177702536962732,-1.0047908884925474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,-0.840440580308028,1.1006434415924,-0.3272714622753637,-0.4509957011476586,12,-1,-0.7162978999337009,-0.7162978999337009,1,1,0.43183328299509655,1.46459320290645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,-0.840440580308028,0.46722563529242406,-0.3272714622753637,-0.4509957011476586,12,-1,-0.7765213559751519,-0.7765213559751519,1,1,0.14248169252537965,-1.0047908884925474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,-0.840440580308028,0.46722563529242406,-0.3272714622753637,-0.4509957011476586,12,-1,-0.6334906478767058,-0.6334906478767058,1,1,0.21481959014280888,-1.0047908884925474,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,-0.840440580308028,1.1006434415924,-0.3272714622753637,-0.4509957011476586,12,-1,-0.6334906478767058,-0.6334906478767058,1,1,0.21481959014280888,1.46459320290645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,-0.840440580308028,-0.7996099773075281,-0.3272714622753637,-0.4509957011476586,12,-1,-0.5657392598300734,-0.5657392598300734,1,1,0.4559459155342396,-0.7785126649778983,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,-0.840440580308028,0.150516732142436,-0.3272714622753637,-0.4509957011476586,12,-1,-0.4151806197264461,-0.4151806197264461,1,1,0.3112701202993812,-0.3967911400923162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,-0.840440580308028,1.1006434415924,-0.3272714622753637,-0.4509957011476586,12,-1,-0.8593286080321471,-0.8593286080321471,1,1,0.5523964456908119,1.46459320290645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
